counter,brick_name,x,y
1,paddle,7.542397138149681,-8.0
2,paddle,-8.0,-8.0
3,paddle,-8.0,-3.9839501475081214
4,paddle,-4.051157056977338,-7.955296705985813
5,paddle,-8.0,-5.882211247407563
6,paddle,-8.0,-5.882211247407563
7,paddle,-8.0,-4.349146952378094
8,paddle,8.0,-7.150907950617832
9,paddle,-8.0,-7.150907950617832
10,paddle,-8.0,-7.150907950617832
11,paddle,-8.0,-7.301701367765666
12,paddle,6.738507481972761,-7.301701367765665
13,paddle,-8.0,-7.301701367765663
14,paddle,6.876630466438311,-7.301701367765665
15,paddle,8.0,-7.301701367765663
16,paddle,8.0,-2.4936752628837713
17,paddle,-3.088557197096975,-2.4936752628837713
18,paddle,8.0,-2.493675262883772
19,paddle,1.2890354949628335,-2.493675262883772
20,paddle,-8.0,-2.493675262883772
21,paddle,-8.0,-2.493675262883772
22,paddle,8.0,-8.0
23,paddle,8.0,-8.0
24,paddle,-8.0,-8.0
25,paddle,8.0,-8.0
26,paddle,0.0496531674965599,-8.0
27,paddle,-8.0,-8.0
28,paddle,0.1347089740934848,-8.0
29,paddle,-8.0,-8.0
30,paddle,8.0,-8.0
31,paddle,-8.0,-6.615615817084693
32,paddle,-4.100225537736833,-6.615615817084695
33,paddle,8.0,-6.615615817084695
34,paddle,8.0,-6.615615817084695
35,paddle,-8.0,-6.615615817084695
36,paddle,8.0,-8.0
37,paddle,8.0,-8.0
38,paddle,8.0,8.0
39,paddle,8.0,-8.0
40,paddle,8.0,8.0
41,paddle,8.0,-8.0
42,paddle,8.0,8.0
43,paddle,8.0,-8.0
44,paddle,8.0,8.0
45,paddle,8.0,-8.0
46,paddle,-8.0,-8.0
47,paddle,8.0,-8.0
48,paddle,-8.0,-8.0
49,paddle,-8.0,-8.0
50,paddle,-8.0,-8.0
51,paddle,8.0,-4.439998804929073
52,paddle,8.0,-4.439998804929073
53,paddle,-8.0,-6.378807723529566
54,paddle,-8.0,-6.37880772352957
55,paddle,-5.649548161158066,-6.37880772352957
56,paddle,-8.0,-6.378807723529568
57,paddle,-8.0,-6.378807723529568
58,paddle,-8.0,-6.378807723529568
59,paddle,-8.0,-6.378807723529568
60,paddle,-4.833924167452437,-6.378807723529568
61,paddle,-8.0,-6.378807723529568
62,paddle,8.0,-6.378807723529568
63,paddle,-8.0,-6.378807723529568
64,paddle,8.0,-6.378807723529568
65,paddle,8.0,-6.378807723529568
66,paddle,8.0,-6.378807723529568
67,paddle,7.047620268041655,-6.378807723529568
68,paddle,-8.0,-6.378807723529568
69,paddle,-8.0,-6.378807723529568
70,paddle,8.0,-6.378807723529568
71,paddle,-8.0,-6.378807723529568
72,paddle,-8.0,-6.378807723529568
73,paddle,8.0,-8.0
74,paddle,8.0,-8.0
75,paddle,-8.0,-5.562379146304474
76,paddle,8.0,-5.562379146304474
77,paddle,-8.0,-5.562379146304474
78,paddle,8.0,-5.562379146304474
79,paddle,8.0,-5.562379146304476
80,paddle,8.0,-5.562379146304476
81,paddle,-8.0,-5.562379146304478
82,paddle,8.0,-8.0
83,paddle,0.305819076538171,-8.0
84,paddle,8.0,-8.0
85,paddle,8.0,-3.7983239761710497
86,paddle,-4.723656461979517,-8.0
87,paddle,2.7093174909502684,8.0
88,paddle,8.0,-8.0
89,paddle,8.0,8.0
90,paddle,8.0,-8.0
91,paddle,8.0,8.0
92,paddle,8.0,-8.0
93,paddle,8.0,8.0
94,paddle,8.0,-8.0
95,paddle,8.0,8.0
96,paddle,8.0,-8.0
97,paddle,8.0,8.0
98,paddle,8.0,-8.0
99,paddle,8.0,8.0
100,paddle,8.0,-8.0
101,paddle,4.114887940004316,-4.061022171942641
102,paddle,-8.0,-1.5546389842579105
103,paddle,-8.0,-1.516082433830191
104,paddle,-8.0,-1.516082433830191
105,paddle,8.0,-7.714862193175066
106,paddle,8.0,-8.0
107,paddle,-8.0,-7.999999999999998
108,paddle,-8.0,-7.999999999999998
109,paddle,8.0,-7.999999999999998
110,paddle,8.0,-8.0
111,paddle,-8.0,-8.0
112,paddle,8.0,-8.0
113,paddle,-8.0,-8.0
114,paddle,8.0,-8.0
115,paddle,4.38192865919882,8.0
116,paddle,-8.0,-8.0
117,paddle,-8.0,8.0
118,paddle,-8.0,-8.0
119,paddle,-8.0,8.0
120,paddle,-4.351268694049736,-8.0
121,paddle,4.0089578789464895,8.0
122,paddle,8.0,-8.0
123,paddle,-8.0,-8.0
124,paddle,8.0,-8.0
125,paddle,-8.0,-8.0
126,paddle,8.0,-7.188682824624323
127,paddle,-8.0,-2.9594089177722402
128,paddle,-8.0,-2.9594089177722402
129,paddle,8.0,-7.372831391691694
130,paddle,-8.0,-8.0
131,paddle,8.0,-8.0
132,paddle,-8.0,-8.0
133,paddle,-8.0,-4.279851424407276
134,paddle,-8.0,-4.279851424407276
