counter,brick_name,x,y
1,paddle,8.0,8.0
2,paddle,8.0,-8.0
3,paddle,8.0,-8.0
4,paddle,8.0,8.0
5,paddle,0.9682873220244801,-8.0
6,paddle,8.0,8.0
7,paddle,8.0,-8.0
8,paddle,8.0,8.0
9,paddle,-6.169184708321836,-8.0
10,paddle,8.0,8.0
11,paddle,8.0,-8.0
12,paddle,-8.0,8.0
13,paddle,3.1857018830447714,-8.0
14,paddle,-0.3063250808546627,8.0
15,paddle,8.0,-8.0
16,paddle,-8.0,8.0
17,paddle,-8.0,-8.0
18,paddle,-8.0,8.0
19,paddle,-8.0,-8.0
20,paddle,-8.0,8.0
21,paddle,8.0,-8.0
22,paddle,8.0,8.0
23,paddle,1.0511472143051606,-8.0
24,paddle,-8.0,8.0
25,paddle,-8.0,-8.0
26,paddle,-8.0,8.0
27,paddle,2.4772637327807843,-8.0
28,paddle,8.0,8.0
29,paddle,-8.0,-8.0
30,paddle,1.9649542698095956,8.0
31,paddle,8.0,-8.0
32,paddle,8.0,8.0
33,paddle,8.0,-8.0
34,paddle,8.0,8.0
35,paddle,-8.0,-8.0
36,paddle,-0.6400863364165161,8.0
37,paddle,-2.4035543065375577,-8.0
38,paddle,-8.0,8.0
39,paddle,8.0,-8.0
40,paddle,-5.116589521105652,8.0
41,paddle,-8.0,-8.0
42,paddle,-8.0,8.0
43,paddle,3.893576224500407,-8.0
44,paddle,7.73214972040023,8.0
45,paddle,-8.0,-8.0
46,paddle,-3.3724902535852834,8.0
47,paddle,-8.0,-8.0
48,paddle,-8.0,8.0
49,paddle,-8.0,-8.0
50,paddle,-8.0,8.0
51,paddle,-8.0,-8.0
52,paddle,-8.0,8.0
53,paddle,-8.0,-8.0
54,paddle,-8.0,8.0
55,paddle,-8.0,-8.0
56,paddle,-8.0,-8.0
57,paddle,8.0,-8.0
58,paddle,-8.0,-8.0
59,paddle,-7.64748311585376,-8.0
60,paddle,-8.0,-8.0
61,paddle,8.0,-8.0
62,paddle,8.0,-8.0
63,paddle,-8.0,-8.0
64,paddle,-8.0,-8.0
65,paddle,-8.0,-8.0
66,paddle,8.0,-8.0
67,paddle,-8.0,-8.0
68,paddle,-8.0,-7.999999999999998
69,paddle,-2.3522819131769097,-7.999999999999998
70,paddle,-8.0,-2.0292458293602884
71,paddle,8.0,-2.0292458293602884
72,paddle,8.0,-8.0
73,paddle,-8.0,-8.0
74,paddle,-8.0,-8.0
75,paddle,8.0,-8.0
76,paddle,-8.0,-8.0
77,paddle,-8.0,-8.0
78,paddle,8.0,-8.0
79,paddle,8.0,-8.0
80,paddle,4.38156947517848,-8.0
81,paddle,-0.8167541270724996,-8.0
82,paddle,8.0,-8.0
83,paddle,-8.0,-8.0
84,paddle,0.5326999251645432,-7.999999999999998
85,paddle,8.0,-7.209821944437246
86,paddle,8.0,-8.0
87,paddle,8.0,-7.999999999999993
88,paddle,0.44018264174981314,-8.0
89,paddle,-8.0,-4.735480189810946
90,paddle,6.019337375302939,-4.735480189810946
91,paddle,-8.0,-7.272801429970448
92,paddle,8.0,-7.437287468649917
93,paddle,-8.0,-7.437287468649917
94,paddle,8.0,-8.0
95,paddle,8.0,-8.0
96,paddle,-8.0,-8.0
97,paddle,8.0,-8.0
98,paddle,3.0869669635512764,-8.0
99,paddle,-8.0,-8.0
100,paddle,-8.0,-8.0
101,paddle,-8.0,8.0
102,paddle,-8.0,-8.0
103,paddle,-8.0,8.0
104,paddle,-8.0,-8.0
105,paddle,-8.0,-6.612539870327291
106,paddle,8.0,-6.612539870327289
107,paddle,-8.0,-8.0
108,paddle,-8.0,8.0
109,paddle,-8.0,-8.0
110,paddle,-8.0,8.0
111,paddle,-8.0,-8.0
112,paddle,-8.0,8.0
113,paddle,-8.0,-8.0
114,paddle,-8.0,8.0
115,paddle,-8.0,-8.0
116,paddle,-8.0,8.0
117,paddle,-8.0,-8.0
118,paddle,-8.0,8.0
119,paddle,-8.0,-8.0
120,paddle,-8.0,8.0
121,paddle,-8.0,-8.0
122,paddle,-8.0,8.0
123,paddle,-8.0,-8.0
124,paddle,-8.0,8.0
125,paddle,-8.0,-8.0
126,paddle,-8.0,8.0
127,paddle,2.451173961635723,-8.0
128,paddle,-8.0,-5.366616549390383
129,paddle,-8.0,-5.366616549390383
130,paddle,-8.0,-5.366616549390383
131,paddle,-8.0,-8.0
132,paddle,-8.0,8.0
133,paddle,-8.0,-8.0
134,paddle,-8.0,8.0
135,paddle,8.0,-8.0
136,paddle,-8.0,8.0
137,paddle,-8.0,-8.0
138,paddle,-8.0,8.0
139,paddle,-8.0,-8.0
140,paddle,-8.0,8.0
141,paddle,-8.0,-8.0
142,paddle,-8.0,8.0
143,paddle,-8.0,-8.0
144,paddle,-8.0,8.0
145,paddle,-8.0,-8.0
146,paddle,-8.0,8.0
147,paddle,-8.0,-8.0
148,paddle,-8.0,8.0
