counter,brick_name,x,y
1,paddle,8.0,-8.0
2,paddle,-8.0,-8.0
3,paddle,-8.0,-8.0
4,paddle,8.0,8.0
5,paddle,8.0,-8.0
6,paddle,8.0,8.0
7,paddle,-8.0,-8.0
8,paddle,8.0,-7.999999999999998
9,paddle,4.307564918824912,-8.0
10,paddle,-8.0,-8.0
11,paddle,0.11631875028601613,-8.0
12,paddle,-8.0,-8.0
13,paddle,8.0,-8.0
14,paddle,8.0,-8.0
15,paddle,-8.0,-8.0
16,paddle,-8.0,-8.0
17,paddle,-8.0,-8.0
18,paddle,8.0,-8.0
19,paddle,7.871496040133138,-8.0
20,paddle,8.0,-8.0
21,paddle,-8.0,-8.0
22,paddle,8.0,-8.0
23,paddle,-8.0,-8.0
24,paddle,8.0,-8.0
25,paddle,8.0,8.0
26,paddle,-8.0,-8.0
27,paddle,8.0,8.0
28,paddle,-8.0,-8.0
29,paddle,8.0,8.0
30,paddle,8.0,-8.0
31,paddle,8.0,-8.0
32,paddle,-8.0,-8.0
33,paddle,-8.0,-8.0
34,paddle,-1.6386302000375963,-8.0
35,paddle,8.0,-8.0
36,paddle,-8.0,-8.0
37,paddle,8.0,-8.0
38,paddle,8.0,-8.0
39,paddle,3.9796171758182375,-0.8843766028763262
40,paddle,8.0,-0.8843766028763262
41,paddle,-8.0,-8.0
42,paddle,0.016673637032582178,-8.0
43,paddle,8.0,-8.0
44,paddle,8.0,-8.0
45,paddle,-8.0,-8.0
46,paddle,8.0,-8.0
47,paddle,-8.0,-8.0
48,paddle,-8.0,-8.0
49,paddle,-8.0,-8.0
50,paddle,-6.113285424464042,-8.0
51,paddle,7.307314854016685,-8.0
52,paddle,-8.0,-8.0
53,paddle,-8.0,-8.0
54,paddle,8.0,-8.0
55,paddle,8.0,-8.0
56,paddle,-8.0,-5.424718030581154
57,paddle,3.284394936657918,-5.424718030581154
58,paddle,8.0,-5.424718030581154
59,paddle,-8.0,-6.273034125427205
60,paddle,-5.613032223217374,-6.273034125427203
61,paddle,8.0,-6.273034125427203
62,paddle,8.0,-6.273034125427203
63,paddle,8.0,-5.183786724360957
64,paddle,-8.0,-8.0
65,paddle,-4.775650111123667,-8.0
66,paddle,8.0,-8.0
67,paddle,8.0,-8.0
68,paddle,8.0,-8.0
69,paddle,-8.0,-8.0
70,paddle,-7.25384925369454,-8.0
71,paddle,8.0,-8.0
72,paddle,-8.0,-8.0
73,paddle,-8.0,-8.0
74,paddle,8.0,-7.999999999999998
