counter,brick_name,x,y
1,paddle,-4.702951999864354,-8.0
2,paddle,2.590651239318845,-8.0
3,paddle,-0.1586988188045666,-8.0
4,paddle,8.0,-8.0
5,paddle,8.0,-8.0
6,paddle,-8.0,-8.0
7,paddle,8.0,-8.0
8,paddle,5.520395337181961,-7.147211887451778
9,paddle,5.00159073802458,-7.147211887451778
10,paddle,8.0,-7.147211887451778
11,paddle,-8.0,-7.1472118874517765
12,paddle,-8.0,-7.1472118874517765
13,paddle,5.876847709509477,-7.1472118874517765
14,paddle,-8.0,-7.1472118874517765
15,paddle,-2.02868820938828,-8.0
16,paddle,8.0,-8.0
17,paddle,-8.0,-8.0
18,paddle,-8.0,-7.999999999999998
19,paddle,8.0,-7.9999999999999964
20,paddle,2.0164535001676427,-7.9999999999999964
21,paddle,-6.781461205745188,-7.9999999999999964
22,paddle,4.435736530903391,-7.9999999999999964
23,paddle,8.0,-7.9999999999999964
24,paddle,8.0,-7.9999999999999964
25,paddle,-8.0,-7.145471216093169
26,paddle,8.0,-7.145471216093169
27,paddle,8.0,-3.186477631752897
28,paddle,8.0,-8.0
29,paddle,-8.0,-8.0
30,paddle,8.0,-8.0
31,paddle,5.184759448199316,-8.0
32,paddle,-8.0,-8.0
33,paddle,8.0,-8.0
34,paddle,-8.0,-7.89006122065908
35,paddle,8.0,-7.890061220659078
36,paddle,-8.0,-7.890061220659078
37,paddle,8.0,-7.890061220659076
38,paddle,-8.0,-8.0
39,paddle,-8.0,-8.0
40,paddle,8.0,-8.0
41,paddle,4.472109171512557,-8.0
42,paddle,-8.0,-8.0
43,paddle,8.0,-8.0
44,paddle,-5.9359155250714934,-8.0
45,paddle,-8.0,-8.0
46,paddle,-8.0,8.0
47,paddle,-8.0,-8.0
48,paddle,8.0,8.0
49,paddle,8.0,-8.0
50,paddle,8.0,8.0
51,paddle,-8.0,-8.0
52,paddle,-8.0,8.0
53,paddle,-8.0,-8.0
54,paddle,-8.0,8.0
55,paddle,-8.0,-8.0
56,paddle,-8.0,8.0
57,paddle,-8.0,-8.0
58,paddle,-8.0,8.0
59,paddle,-8.0,-8.0
60,paddle,-8.0,8.0
61,paddle,-8.0,-8.0
62,paddle,-8.0,8.0
63,paddle,-8.0,-8.0
64,paddle,-8.0,8.0
65,paddle,-8.0,-8.0
66,paddle,-8.0,8.0
67,paddle,1.4720585782290527,-8.0
68,paddle,-8.0,8.0
69,paddle,-8.0,-8.0
70,paddle,-8.0,8.0
71,paddle,-8.0,-8.0
72,paddle,-8.0,8.0
73,paddle,-8.0,-8.0
74,paddle,-8.0,8.0
75,paddle,-8.0,-8.0
76,paddle,-8.0,8.0
77,paddle,-8.0,-8.0
78,paddle,-8.0,8.0
79,paddle,-8.0,-8.0
80,paddle,-8.0,8.0
81,paddle,-8.0,-8.0
82,paddle,-8.0,8.0
83,paddle,-8.0,-8.0
84,paddle,-8.0,8.0
85,paddle,-8.0,-8.0
86,paddle,-8.0,8.0
87,paddle,-8.0,-8.0
88,paddle,-8.0,8.0
89,paddle,-8.0,-8.0
90,paddle,-8.0,8.0
91,paddle,-8.0,-8.0
92,paddle,-8.0,8.0
93,paddle,-8.0,-8.0
94,paddle,-8.0,8.0
95,paddle,-8.0,-8.0
96,paddle,-8.0,8.0
97,paddle,-8.0,-8.0
98,paddle,-8.0,8.0
99,paddle,-8.0,-8.0
100,paddle,-8.0,8.0
101,paddle,-8.0,-8.0
102,paddle,-8.0,8.0
103,paddle,-8.0,-8.0
104,paddle,-8.0,8.0
105,paddle,-8.0,-8.0
106,paddle,-8.0,8.0
107,paddle,-8.0,-8.0
108,paddle,-8.0,-8.0
109,paddle,8.0,-8.0
110,paddle,-8.0,-8.0
111,paddle,-8.0,-8.0
112,paddle,8.0,-8.0
113,paddle,8.0,-8.0
114,paddle,8.0,-8.0
115,paddle,-8.0,-8.0
116,paddle,-8.0,-4.952386639467621
117,paddle,-7.014125994043525,-4.952386639467621
118,paddle,-8.0,-4.952386639467621
119,paddle,4.802175472756261,-4.952386639467621
120,paddle,8.0,-4.952386639467621
121,paddle,-8.0,-4.952386639467621
122,paddle,-8.0,-4.952386639467621
123,paddle,-6.376865334022739,-4.952386639467621
124,paddle,8.0,-4.952386639467621
125,paddle,6.689521437544272,-8.0
126,paddle,8.0,-3.252421740734137
127,paddle,8.0,-8.0
128,paddle,-8.0,-8.0
129,paddle,2.4605972754857817,-8.0
130,paddle,-8.0,-8.0
131,paddle,-8.0,-8.0
132,paddle,-8.0,-8.0
133,paddle,1.8543233313047978,-8.0
134,paddle,8.0,-8.0
135,paddle,3.30434228945046,-8.0
136,paddle,8.0,-8.0
137,paddle,8.0,-6.418276652286462
138,paddle,-8.0,-6.418276652286462
139,paddle,8.0,-6.418276652286462
140,paddle,-8.0,-6.418276652286462
141,paddle,8.0,-6.418276652286462
142,paddle,-8.0,-8.0
143,paddle,-8.0,-8.0
144,paddle,0.3257573056374099,-8.0
145,paddle,-8.0,-8.0
146,paddle,8.0,-8.0
147,paddle,-8.0,-8.0
148,paddle,-8.0,-6.276547189672037
149,paddle,-8.0,-6.276547189672039
150,paddle,8.0,-6.276547189672039
151,paddle,-8.0,-8.0
152,paddle,-8.0,-8.0
153,paddle,7.945646268194878,-8.0
154,paddle,-8.0,-8.0
155,paddle,8.0,-8.0
156,paddle,-8.0,-8.0
157,paddle,3.4761860686115824,-8.0
158,paddle,-8.0,-8.0
159,paddle,8.0,-8.0
160,paddle,8.0,-8.0
161,paddle,-6.149488724122927,-8.0
162,paddle,8.0,-8.0
163,paddle,-8.0,-8.0
164,paddle,-3.4558974260792183,-8.0
165,paddle,-8.0,-8.0
166,paddle,8.0,-8.0
167,paddle,3.380573030772098,-8.0
168,paddle,4.274381739637306,-8.0
169,paddle,-8.0,-8.0
170,paddle,-8.0,-8.0
171,paddle,-7.9349934118462215,-8.0
172,paddle,-8.0,-8.0
173,paddle,8.0,-8.0
174,paddle,8.0,-8.0
175,paddle,-8.0,-8.0
176,paddle,-8.0,-8.0
177,paddle,-8.0,8.0
178,paddle,-8.0,-8.0
179,paddle,-8.0,8.0
180,paddle,-8.0,-8.0
181,paddle,-8.0,8.0
182,paddle,-8.0,-8.0
183,paddle,-8.0,8.0
184,paddle,-8.0,-8.0
185,paddle,-8.0,8.0
186,paddle,-8.0,-8.0
187,paddle,-8.0,8.0
188,paddle,-8.0,-8.0
189,paddle,-8.0,8.0
190,paddle,-8.0,-8.0
191,paddle,-8.0,8.0
192,paddle,-8.0,-8.0
193,paddle,-8.0,8.0
194,paddle,-8.0,-8.0
195,paddle,-8.0,8.0
196,paddle,-8.0,-8.0
197,paddle,-8.0,8.0
198,paddle,-8.0,-8.0
199,paddle,-8.0,8.0
200,paddle,-8.0,-8.0
201,paddle,-8.0,8.0
202,paddle,-8.0,-8.0
203,paddle,-8.0,8.0
204,paddle,-8.0,-8.0
205,paddle,-8.0,8.0
206,paddle,-8.0,-8.0
207,paddle,-8.0,8.0
208,paddle,-8.0,-8.0
209,paddle,-8.0,8.0
210,paddle,-8.0,-8.0
211,paddle,-8.0,8.0
212,paddle,-8.0,-8.0
213,paddle,-8.0,8.0
214,paddle,-8.0,8.0
215,paddle,8.0,-8.0
216,paddle,-8.0,-8.0
217,paddle,-8.0,-8.0
218,paddle,1.9701263902946948,-8.0
219,paddle,-8.0,-8.0
220,paddle,8.0,-8.0
221,paddle,8.0,-8.0
222,paddle,-8.0,-8.0
223,paddle,-8.0,-8.0
224,paddle,8.0,-8.0
225,paddle,0.8172339501084007,-8.0
226,paddle,8.0,-8.0
227,paddle,8.0,-5.291533133041357
228,paddle,8.0,-5.291533133041357
229,paddle,8.0,-8.0
230,paddle,8.0,-3.4142048158867375
231,paddle,-8.0,-3.4142048158867375
232,paddle,-8.0,-3.4142048158867375
233,paddle,5.112153064111453,-3.4142048158867375
234,paddle,-4.703256317819296,-3.4142048158867375
235,paddle,1.1186984519117296,-0.4375133615912592
236,paddle,8.0,-0.4375133615912592
237,paddle,-8.0,-7.4379425308150795
238,paddle,8.0,-7.4379425308150795
239,paddle,-8.0,-8.0
240,paddle,8.0,-8.0
241,paddle,8.0,-8.0
242,paddle,-4.359212558402788,-8.0
243,paddle,-8.0,-8.0
244,paddle,-8.0,-8.0
245,paddle,8.0,-8.0
246,paddle,8.0,-8.0
247,paddle,-8.0,-8.0
248,paddle,6.865504923057131,-8.0
249,paddle,8.0,-8.0
250,paddle,8.0,8.0
251,paddle,8.0,-8.0
252,paddle,6.466183914009392,8.0
253,paddle,0.48857300824511185,-8.0
254,paddle,-8.0,-8.0
255,paddle,-8.0,-8.0
256,paddle,-3.364025786427442,-8.0
257,paddle,-8.0,-8.0
258,paddle,8.0,-8.0
259,paddle,-8.0,-4.648368448247138
260,paddle,8.0,-4.648368448247138
261,paddle,8.0,-4.6483684482471395
262,paddle,8.0,-4.6483684482471395
263,paddle,-8.0,-4.6483684482471395
264,paddle,-8.0,-4.648368448247141
265,paddle,8.0,-4.648368448247141
266,paddle,8.0,-4.648368448247141
267,paddle,-5.348496423379629,-4.648368448247141
268,paddle,-8.0,-5.8853716097583115
